item_title,item_desc,link
Mercedes-Benz L-series truck,"The Mercedes-Benz Trucks L-series is a conventional layout, cab-after-engine truck manufactured from 1959 to 1995. In Germany it is most commonly referred to as the Kurzhauber (for ""short bonnet""). The engine intruded into the cabin underneath the windshield, all in the name of making a shorter truck to meet the strict period German regulations on overall length.",http://en.wikipedia.org/wiki/Mercedes-Benz_L-series_truck
Obesity in India,"Obesity has reached epidemic proportions in India in the 21st century, with morbid obesity affecting 5% of the country's population. India is following a trend of other developing countries that are steadily becoming more obese. Unhealthy, processed food has become much more accessible following India's continued integration in global food markets.",http://en.wikipedia.org/wiki/Obesity_in_India
Parkhi,"Parkhi is an uncommon surname of Deshastha Rigvedi Brahmins. The common Gotra found in Parkhis is Harita/Haritas. They are mostly located in Pune and Nagpur.Other Parkhis are also found in Mumbai, Thane, Nashik, Dombivali and abroad in the United States and United Kingdom.Chandu Parkhi is one the most notable person with surname Parkhi.Sandeep Parkhi has designed the website for the Parkhi family in Nagpur.",http://en.wikipedia.org/wiki/Parkhi
Maisnam,"Maisnam (pronounced as ""meis - naam"") is a Meitei family name. Meiteis are people from Manipur, a state in north-eastern India. Maisnam is a sagei (surname/lastname/family) from the Luwang salai (clan), one of the seven salais of Manipur. The Luwang salai is equivalent to the Kashyap gotra (clan) in Hinduism.",http://en.wikipedia.org/wiki/Maisnam
2008–09 Portsmouth F.C. season,"During the 2008–09 football season Portsmouth played their sixth consecutive season in the highest tier of English football, the Premier League. Thanks to the exploits of the previous season, Portsmouth achieved European football for the first time in their footballing history, thanks to an FA Cup win over Cardiff City; they competed in the UEFA Cup. They also participated in the Charity Shield, against Manchester United on 10 August 2008, at Wembley Stadium, eventually losing on penalties.",http://en.wikipedia.org/wiki/2008–09_Portsmouth_F.C._season
1992–93 Austrian Football Bundesliga,Statistics of Austrian Football Bundesliga in the 1992/1993 season.,http://en.wikipedia.org/wiki/1992–93_Austrian_Football_Bundesliga
Kässbohrer,"Kässbohrer Fahrzeugwerke was a German vehicle manufacturer in Ulm. Its products were buses, coaches, vehicle transporters, trailers and special vehicles like snow groomer vehicles.In 1893, Karl Kässbohrer founded the Wagenfabrik Kässbohrer in Ulm. In 1922, Kässbohrer developed a trailer for goods transport, having solid rubber wheels. When Karl Kässbohrer senior died, his sons, Karl junior and Otto Kässbohrer, took over the company.",http://en.wikipedia.org/wiki/Kässbohrer
2005 Cadillac DTS Presidential State Car (United States),"The 2005 Cadillac DTS Presidential State Car was the official state car used by President George W. Bush of the United States during his administration. Analogous to the President's use of an airplane designated Air Force One, the automobile—traditionally a limousine—is informally known as ""Cadillac One"". The limousine model was replaced on January 20, 2009, upon the inauguration of President Barack Obama, although both models are still in use.",http://en.wikipedia.org/wiki/2005_Cadillac_DTS_Presidential_State_Car_(United_States)
Charlotte 49ers baseball,"For information on all University of North Carolina at Charlotte sports, see Charlotte 49ersThe Charlotte 49ers baseball team is a varsity intercollegiate athletic team of the University of North Carolina at Charlotte in Charlotte, North Carolina, USA. The team is a member of Conference USA, which is part of the National Collegiate Athletic Association's Division I. Charlotte's first baseball team was fielded in 1979.",http://en.wikipedia.org/wiki/Charlotte_49ers_baseball
Coastal Carolina Chanticleers baseball,"The Coastal Carolina Chanticleers baseball program has been the university's most consistent program in terms of success. Head Coach Gary Gilmore (730-365-0 at CCU, 986-467-2 overall) has led the Chanticleers to 12 NCAA Regional appearances and two Super Regional appearances since being hired in 1996. The program has received #1 regional seeds on four occasions (2005, 2007, 2008, 2010) and won 50+ games in 2005, 2007, 2008, and 2010.",http://en.wikipedia.org/wiki/Coastal_Carolina_Chanticleers_baseball
